Especie,Blanca,Clara
Abramites sp.,1,0
Acestrorhynchus sp.,4,0
Aequidens sp.,1,0
Anchoviella alleni ,8,4
Ancistrus sp.,0,1
Aphyocharax pusillus,1,0
Apteronotus sp. ,1,0
Astianacinus sp.,40,0
Astyanax cf. comma,5,0
Astyanax sp.1,5,7
Astyanax sp.2,11,1
Astyanax sp.3,28,0
Brachychalcinus copei,2,0
Brycon sp.1,9,0
Brycon sp.2,2,0
Bryconamericus sp.,0,15
Bryconops sp.,9,0
Bujurquina sp.1,6,5
Bujurquina sp.2,3,0
Carnegiella strigata,2,0
Characidium sp. 1,25,1
Characidium sp. 2,1,14
Charax sp.,9,0
Chilodus sp.,1,0
Corydoras loretoensis,1,0
Corydoras sp.1,1,1
Corydoras sp.2,15,0
Creagrutus barrigai ,2,0
Creagrutus sp.1,10,17
Creagrutus sp.2,5,1
Creagrutus sp.3,8,0
Crenicichla sp.,2,0
Cyphocharax sp.,1,1
Farlowella sp.,0,2
Gastropelecus sp.,0,2
Geophagus sp.,1,0
Hemigrammus pulcher,1,0
Hemigrammus sp. 1,8,11
Hemigrammus sp. 2,3,0
Henonemus punctatus,0,1
Hoplias malabaricus ,3,2
Hypoptopoma sp.,6,0
Hypostomus sp. 1,5,0
Hypostomus sp. 2,1,0
Hypostomus sp. 3,1,0
Hypostomus unicolor,2,0
Imparfinis sp.,1,4
Jupiaba sp.,5,1
Knodus sp. 1,60,20
Knodus sp. 2,20,0
Knodus sp. 3,15,0
Laemolyta sp.,1,0
Limatulichthys sp.,5,3
Loricaria sp.1,2,2
Loricaria sp.2,2,1
Moenkhausia aff oligolepis ,59,4
Moenkhausia dichroura,0,7
Moenkhausia sp. 1,19,6
Moenkhausia sp. 2,13,0
Otocinclus sp.1,19,0
Otocinclus sp.2,6,0
Paragoniates alburnus ,1,15
Parodon sp.,1,0
Pimelodella sp. 1,1,3
Pimelodella sp. 2,5,0
Pimelodella sp. 3,8,0
Platytacus sp.,2,0
Poptella sp.,49,0
Potamorraphis sp.,1,0
Rineloricaria lanceolata,4,2
Rivulus sp.,0,3
Roeboides affinis ,0,2
Steindachnerina aff. guenteri,5,0
Steindachnerina sp.,16,0
Sternopygus sp.,5,0
Tatia cf. Perugiae,4,0
Tetragonopterus sp.1,1,0
Thalassophryne amazonica,2,2
Thoracocharax stellatus ,1,0
Tyttocharax sp.,0,5
Vandellia sp.,1,1
