Especie,Cocha,Quebrada,Rio
Abramites sp.,0,0,1
Acestrorhynchus sp.,0,1,3
Aequidens sp.,0,1,0
Anchoviella alleni ,4,1,7
Ancistrus sp.,0,0,1
Aphyocharax pusillus,0,1,0
Apteronotus sp. ,0,1,0
Astianacinus sp.,0,0,40
Astyanax cf. comma,0,5,0
Astyanax sp.1,1,4,7
Astyanax sp.2,0,4,8
Astyanax sp.3,0,28,0
Brachychalcinus copei,0,2,0
Brycon sp.1,0,9,0
Brycon sp.2,0,2,0
Bryconamericus sp.,0,0,15
Bryconops sp.,0,3,6
Bujurquina sp.1,0,9,2
Bujurquina sp.2,0,3,0
Carnegiella strigata,0,2,0
Characidium sp. 1,1,11,14
Characidium sp. 2,14,1,0
Charax sp.,0,7,2
Chilodus sp.,0,1,0
Corydoras loretoensis,0,0,1
Corydoras sp.1,0,2,0
Corydoras sp.2,0,1,14
Creagrutus barrigai ,0,1,1
Creagrutus sp.1,1,23,3
Creagrutus sp.2,1,4,1
Creagrutus sp.3,0,8,0
Crenicichla sp.,0,2,0
Cyphocharax sp.,1,0,1
Farlowella sp.,0,1,1
Gastropelecus sp.,2,0,0
Geophagus sp.,0,0,1
Hemigrammus pulcher,0,0,1
Hemigrammus sp. 1,0,11,8
Hemigrammus sp. 2,0,0,3
Henonemus punctatus,1,0,0
Hoplias malabaricus ,1,3,1
Hypoptopoma sp.,0,6,0
Hypostomus sp. 1,0,2,3
Hypostomus sp. 2,0,1,0
Hypostomus sp. 3,0,1,0
Hypostomus unicolor,0,0,2
Imparfinis sp.,0,1,4
Jupiaba sp.,0,6,0
Knodus sp. 1,0,76,4
Knodus sp. 2,0,20,0
Knodus sp. 3,0,15,0
Laemolyta sp.,0,0,1
Limatulichthys sp.,3,2,3
Loricaria sp.1,1,0,3
Loricaria sp.2,1,0,2
Moenkhausia aff oligolepis ,1,61,1
Moenkhausia dichroura,0,7,0
Moenkhausia sp. 1,1,11,13
Moenkhausia sp. 2,0,1,12
Otocinclus sp.1,0,19,0
Otocinclus sp.2,0,6,0
Paragoniates alburnus ,1,14,1
Parodon sp.,0,1,0
Pimelodella sp. 1,3,1,0
Pimelodella sp. 2,0,0,5
Pimelodella sp. 3,0,0,8
Platytacus sp.,0,2,0
Poptella sp.,0,49,0
Potamorraphis sp.,0,0,1
Rineloricaria lanceolata,0,6,0
Rivulus sp.,0,3,0
Roeboides affinis ,0,2,0
Steindachnerina aff. guenteri,0,5,0
Steindachnerina sp.,0,6,10
Sternopygus sp.,0,5,0
Tatia cf. Perugiae,0,4,0
Tetragonopterus sp.1,0,0,1
Thalassophryne amazonica,2,1,1
Thoracocharax stellatus ,0,0,1
Tyttocharax sp.,0,0,5
Vandellia sp.,1,0,1
