Especie,jul09,set08
Abramites sp.,0,1
Acestrorhynchus sp.,0,4
Aequidens sp.,0,1
Anchoviella alleni ,0,12
Ancistrus sp.,1,0
Aphyocharax pusillus,1,0
Apteronotus sp. ,1,0
Astianacinus sp.,40,0
Astyanax cf. comma,5,0
Astyanax sp.1,10,2
Astyanax sp.2,2,10
Astyanax sp.3,28,0
Brachychalcinus copei,0,2
Brycon sp.1,9,0
Brycon sp.2,2,0
Bryconamericus sp.,15,0
Bryconops sp.,0,9
Bujurquina sp.1,2,9
Bujurquina sp.2,2,1
Carnegiella strigata,1,1
Characidium sp. 1,10,16
Characidium sp. 2,1,14
Charax sp.,2,7
Chilodus sp.,0,1
Corydoras loretoensis,0,1
Corydoras sp.1,0,2
Corydoras sp.2,1,14
Creagrutus barrigai ,0,2
Creagrutus sp.1,3,24
Creagrutus sp.2,4,2
Creagrutus sp.3,8,0
Crenicichla sp.,2,0
Cyphocharax sp.,0,2
Farlowella sp.,1,1
Gastropelecus sp.,0,2
Geophagus sp.,0,1
Hemigrammus pulcher,0,1
Hemigrammus sp. 1,0,19
Hemigrammus sp. 2,0,3
Henonemus punctatus,0,1
Hoplias malabaricus ,2,3
Hypoptopoma sp.,6,0
Hypostomus sp. 1,0,5
Hypostomus sp. 2,0,1
Hypostomus sp. 3,1,0
Hypostomus unicolor,0,2
Imparfinis sp.,5,0
Jupiaba sp.,6,0
Knodus sp. 1,70,10
Knodus sp. 2,20,0
Knodus sp. 3,15,0
Laemolyta sp.,0,1
Limatulichthys sp.,0,8
Loricaria sp.1,1,3
Loricaria sp.2,0,3
Moenkhausia aff oligolepis ,52,11
Moenkhausia dichroura,0,7
Moenkhausia sp. 1,3,22
Moenkhausia sp. 2,3,10
Otocinclus sp.1,18,1
Otocinclus sp.2,6,0
Paragoniates alburnus ,4,12
Parodon sp.,1,0
Pimelodella sp. 1,0,4
Pimelodella sp. 2,0,5
Pimelodella sp. 3,0,8
Platytacus sp.,2,0
Poptella sp.,49,0
Potamorraphis sp.,0,1
Rineloricaria lanceolata,4,2
Rivulus sp.,0,3
Roeboides affinis ,0,2
Steindachnerina aff. guenteri,1,4
Steindachnerina sp.,1,15
Sternopygus sp.,5,0
Tatia cf. Perugiae,4,0
Tetragonopterus sp.1,0,1
Thalassophryne amazonica,1,3
Thoracocharax stellatus ,0,1
Tyttocharax sp.,5,0
Vandellia sp.,0,2
